City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,50.72,82,100,3.74,overcast clouds
1,Bela,IN,25.9333,81.9833,78.96,82,6,5.46,clear sky
2,Port Blair,IN,11.6667,92.75,81.14,83,100,6.42,overcast clouds
3,Vardo,NO,70.3705,31.1107,39.6,75,90,13.71,overcast clouds
4,Atuona,PF,-9.8,-139.0333,78.69,72,11,10.65,few clouds
5,Maksatikha,RU,57.797,35.8825,48.07,62,86,8.61,overcast clouds
6,Marakkanam,IN,12.2,79.95,87.22,67,90,14.52,overcast clouds
7,Barrow,US,71.2906,-156.7887,30.22,80,90,9.22,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,29.86,93,90,9.22,light snow
9,Mangalia,RO,43.8,28.5833,67.08,77,82,9.37,broken clouds
10,Hamilton,US,39.1834,-84.5333,54.37,80,90,5.01,overcast clouds
11,Mar Del Plata,AR,-38.0023,-57.5575,50.23,59,40,11.99,scattered clouds
12,Esperance,AU,-33.8667,121.9,64.33,84,100,21.9,light rain
13,Ormara,PK,25.2088,64.6357,84.2,86,2,16.8,clear sky
14,East London,ZA,-33.0153,27.9116,63.54,63,0,14.97,clear sky
15,Busselton,AU,-33.65,115.3333,54.09,82,82,7.38,broken clouds
16,Khatanga,RU,71.9667,102.5,36.01,84,99,10.51,overcast clouds
17,Ostrovnoy,RU,68.0531,39.5131,35.51,78,96,17.54,overcast clouds
18,Port-Gentil,GA,-0.7193,8.7815,79.23,86,100,12.86,light rain
19,Meulaboh,ID,4.1363,96.1285,77.4,87,89,2.98,overcast clouds
20,Hilo,US,19.7297,-155.09,77.61,78,20,0.0,light rain
21,Edd,ER,13.9297,41.6925,93.04,49,43,9.75,scattered clouds
22,Hovd,MN,48.0056,91.6419,50.49,54,63,8.46,broken clouds
23,Port Elizabeth,ZA,-33.918,25.5701,56.1,78,52,17.54,light rain
24,Punta Arenas,CL,-53.15,-70.9167,37.11,55,71,19.26,broken clouds
25,Horsham,GB,51.064,-0.3272,67.86,52,0,11.3,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,71.15,78,37,5.82,scattered clouds
27,Half Moon Bay,US,37.4636,-122.4286,69.58,81,90,9.22,overcast clouds
28,Bastia,FR,42.6667,9.3333,67.33,80,20,1.01,few clouds
29,Raudeberg,NO,61.9875,5.1352,54.86,81,36,9.31,scattered clouds
30,Hermanus,ZA,-34.4187,19.2345,59.9,83,22,2.46,light rain
31,Aquin,HT,18.2833,-73.4,84.15,64,8,8.93,clear sky
32,Butaritari,KI,3.0707,172.7902,82.22,81,100,16.62,light rain
33,Kajaani,FI,64.2273,27.7285,46.45,46,0,9.22,clear sky
34,Bredasdorp,ZA,-34.5322,20.0403,56.28,89,7,6.11,clear sky
35,Kaeo,NZ,-35.1,173.7833,46.33,96,43,8.48,scattered clouds
36,Yellowknife,CA,62.456,-114.3525,53.33,46,34,1.99,scattered clouds
37,Chokurdakh,RU,70.6333,147.9167,46.96,55,9,9.64,clear sky
38,Carnarvon,AU,-24.8667,113.6333,60.87,94,96,6.91,overcast clouds
39,Silver City,US,32.7701,-108.2803,83.68,8,1,1.01,clear sky
40,Bethel,US,41.3712,-73.414,49.5,89,100,1.99,overcast clouds
41,Qasigiannguit,GL,68.8193,-51.1922,61.05,36,83,23.0,broken clouds
42,Lorengau,PG,-2.0226,147.2712,82.18,77,83,11.36,broken clouds
43,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,55,0,6.91,clear sky
44,Namibe,AO,-15.1961,12.1522,73.63,75,9,7.52,clear sky
45,Kodiak,US,57.79,-152.4072,45.91,93,90,10.36,moderate rain
46,Dongsheng,CN,39.8161,109.9776,63.27,35,64,10.02,broken clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,84.16,83,56,8.99,broken clouds
48,Yarmouth,US,41.7057,-70.2286,49.03,80,90,7.0,moderate rain
49,Cidreira,BR,-30.1811,-50.2056,66.07,65,10,12.91,clear sky
50,Serafimovich,RU,49.5786,42.736,70.16,53,3,2.59,clear sky
51,Manta,EC,-0.95,-80.7333,78.58,78,75,10.36,broken clouds
52,Tiksi,RU,71.6872,128.8694,30.13,98,90,7.99,overcast clouds
53,Bluff,NZ,-46.6,168.3333,49.8,86,100,19.48,overcast clouds
54,Praia,CV,14.9215,-23.5087,79.34,57,20,17.27,few clouds
55,Linxia,CN,35.6003,103.2064,57.96,46,75,3.76,broken clouds
56,Kashi,CN,39.4547,75.9797,79.81,18,40,7.38,scattered clouds
57,Ulaangom,MN,49.9811,92.0667,48.94,40,71,6.55,broken clouds
58,Port Alfred,ZA,-33.5906,26.891,62.2,73,82,28.81,broken clouds
59,Rikitea,PF,-23.1203,-134.9692,77.11,85,77,19.28,broken clouds
60,Cape Town,ZA,-33.9258,18.4232,60.12,84,44,1.01,scattered clouds
61,Qaanaaq,GL,77.484,-69.3632,32.0,95,36,5.32,scattered clouds
62,Mataura,NZ,-46.1927,168.8643,49.48,96,100,4.27,light rain
63,Jimenez,MX,28.3333,-105.4,88.54,24,8,3.22,clear sky
64,Hobart,AU,-42.8794,147.3294,45.27,78,90,3.0,overcast clouds
65,Belaya Gora,RU,68.5333,146.4167,50.05,49,11,11.41,few clouds
66,Dikson,RU,73.5069,80.5464,21.24,94,43,0.31,scattered clouds
67,Palora,EC,-1.7,-77.9333,85.98,47,31,4.25,scattered clouds
68,Yabrud,SY,33.9674,36.6574,64.06,46,0,7.27,clear sky
69,Pacific Grove,US,36.6177,-121.9166,68.58,87,90,3.0,overcast clouds
70,New Norfolk,AU,-42.7826,147.0587,44.92,75,50,1.01,scattered clouds
71,Lockport,US,41.5895,-88.0578,62.62,40,1,20.71,clear sky
72,Vaini,TO,-21.2,-175.2,74.97,82,99,12.77,overcast clouds
73,Port Macquarie,AU,-31.4333,152.9167,52.9,79,93,14.74,overcast clouds
74,Provideniya,RU,64.3833,-173.3,41.79,49,7,11.39,clear sky
75,Pangnirtung,CA,66.1451,-65.7125,31.71,80,46,5.46,scattered clouds
76,Hami,CN,42.8,93.45,82.27,11,79,1.43,broken clouds
77,Komsomolskiy,UZ,40.4272,71.7189,81.32,24,92,4.61,overcast clouds
78,Sala,MA,34.0389,-6.8166,70.48,78,100,4.61,overcast clouds
79,Labuhan,ID,-6.8844,112.2051,77.99,86,62,7.38,broken clouds
80,Zhangye,CN,38.9342,100.4517,67.6,33,100,3.76,overcast clouds
81,Jamestown,US,42.097,-79.2353,51.51,78,90,8.99,overcast clouds
82,Port Hedland,AU,-20.3167,118.5667,69.85,78,100,6.91,overcast clouds
83,Nouadhibou,MR,20.931,-17.0347,66.06,89,100,24.58,overcast clouds
84,Buritizeiro,BR,-17.3511,-44.9622,91.65,28,93,3.11,overcast clouds
85,Hofn,IS,64.2539,-15.2082,46.78,89,85,17.92,overcast clouds
86,Barcelos,PT,41.5388,-8.6151,81.28,67,2,8.32,clear sky
87,Ponta Do Sol,PT,32.6667,-17.1,72.23,59,36,5.06,scattered clouds
88,Sujangarh,IN,27.7011,74.4649,97.56,20,1,6.24,clear sky
89,Rawson,AR,-43.3002,-65.1023,49.06,35,0,25.77,clear sky
90,Pisco,PE,-13.7,-76.2167,66.02,85,14,6.22,few clouds
91,Muros,ES,42.7762,-9.0603,73.69,54,33,11.79,scattered clouds
92,Boyabat,TR,41.4689,34.7667,58.5,86,97,1.95,overcast clouds
93,San Policarpo,PH,12.1791,125.5072,79.84,84,53,3.15,broken clouds
94,Sao Raimundo Nonato,BR,-9.0153,-42.6994,93.36,19,10,8.93,clear sky
95,Linqiong,CN,30.4159,103.4609,69.62,73,98,2.1,overcast clouds
96,Talnakh,RU,69.4865,88.3972,28.54,98,95,4.5,overcast clouds
97,Hambantota,LK,6.1241,81.1185,80.13,82,97,18.45,overcast clouds
98,Ibirama,BR,-27.0569,-49.5178,80.92,59,41,7.09,scattered clouds
99,Vallenar,CL,-28.5708,-70.7581,83.46,17,0,5.55,clear sky
100,Anadyr,RU,64.75,177.4833,39.7,60,0,8.01,clear sky
101,Mogadishu,SO,2.0371,45.3438,78.57,84,58,14.72,broken clouds
102,College,US,64.8569,-147.8028,44.55,49,75,11.5,broken clouds
103,Muzhi,RU,65.3667,64.6667,44.89,63,97,8.75,overcast clouds
104,Iqaluit,CA,63.7506,-68.5145,36.99,56,28,18.77,scattered clouds
105,Urubicha,BO,-15.3833,-62.95,90.16,34,99,5.97,overcast clouds
106,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,14.41,overcast clouds
107,Mahebourg,MU,-20.4081,57.7,74.25,86,18,4.9,light rain
108,Berbera,SO,10.4396,45.0143,92.46,44,37,5.3,scattered clouds
109,Kapaa,US,22.0752,-159.319,78.78,80,20,6.62,few clouds
110,Geraldton,AU,-28.7667,114.6,65.12,82,40,15.08,scattered clouds
111,Batesville,US,35.7698,-91.641,61.84,65,90,6.91,overcast clouds
112,Srednekolymsk,RU,67.45,153.6833,49.82,48,43,10.92,scattered clouds
113,Alta Floresta,BR,-9.8756,-56.0861,86.76,43,10,3.29,clear sky
114,Touros,BR,-5.1989,-35.4608,85.1,66,53,17.31,broken clouds
115,Nizwa,OM,22.9333,57.5333,90.03,28,9,7.31,clear sky
116,Ilulissat,GL,69.2167,-51.1,60.82,20,40,21.85,scattered clouds
117,Waitati,NZ,-45.75,170.5667,49.8,96,100,7.61,light rain
118,Dawei,MM,14.0833,98.2,76.75,93,99,3.13,overcast clouds
119,Nikolskoye,RU,59.7035,30.7861,51.69,59,2,5.12,clear sky
120,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,32,0,16.11,clear sky
121,Cherskiy,RU,68.75,161.3,49.28,50,33,13.31,scattered clouds
122,Chakwal,PK,32.9334,72.8585,90.45,21,31,9.98,scattered clouds
123,Victoria,HK,22.2855,114.1577,86.38,88,100,1.01,overcast clouds
124,Marsh Harbour,BS,26.5412,-77.0636,79.5,69,2,12.28,clear sky
125,Teguldet,RU,57.3064,88.1667,35.62,62,45,3.33,scattered clouds
126,Lompoc,US,34.6391,-120.4579,66.85,77,90,13.8,overcast clouds
127,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,8.05,broken clouds
128,Shubarkuduk,KZ,49.1447,56.4872,72.14,51,31,14.34,scattered clouds
129,Seabra,BR,-12.4186,-41.7703,76.48,41,100,7.18,overcast clouds
130,Gat,IL,31.61,34.7642,74.8,100,0,5.93,clear sky
131,Egvekinot,RU,66.3167,-179.1667,33.37,58,54,7.52,broken clouds
132,Bianzhuang,CN,34.8486,118.0447,64.8,55,0,7.72,light rain
133,Sanming,CN,26.2486,117.6186,68.79,99,100,1.66,light rain
134,Katsuura,JP,35.1333,140.3,69.12,89,58,12.03,broken clouds
135,Rodrigues Alves,BR,-7.738,-72.6509,92.61,40,54,2.33,broken clouds
136,Maceio,BR,-9.6658,-35.7353,83.64,65,40,8.86,scattered clouds
137,San Patricio,US,28.017,-97.5169,78.69,69,98,7.16,overcast clouds
138,Avarua,CK,-21.2078,-159.775,71.65,73,45,3.44,scattered clouds
139,Bathsheba,BB,13.2167,-59.5167,86.61,54,40,15.59,scattered clouds
140,Dingle,PH,10.9995,122.6711,78.01,90,92,2.71,overcast clouds
141,Nemuro,JP,43.3236,145.575,45.03,96,85,10.96,overcast clouds
142,Klaksvik,FO,62.2266,-6.589,50.92,82,48,10.49,scattered clouds
143,Muli,MV,2.9167,73.5667,84.13,73,98,20.02,overcast clouds
144,Airai,TL,-8.9266,125.4092,56.16,93,85,2.55,overcast clouds
145,San Quintin,MX,30.4833,-115.95,64.87,68,72,18.1,broken clouds
146,Kudahuvadhoo,MV,2.6708,72.8944,84.2,72,72,20.29,broken clouds
147,Scarborough,GB,54.2797,-0.4044,66.02,72,1,3.0,clear sky
148,Lubango,AO,-14.9172,13.4925,59.9,35,33,3.49,scattered clouds
149,Broken Hill,AU,-31.95,141.4333,42.76,61,96,6.49,overcast clouds
150,Cayenne,GF,4.9333,-52.3333,86.04,85,75,7.0,broken clouds
151,Lata,PT,40.1629,-8.3327,78.04,61,0,7.4,clear sky
152,Turinskaya Sloboda,RU,57.6232,64.3858,66.02,57,25,8.75,scattered clouds
153,Sibiti,CG,-3.6819,13.3499,74.55,79,34,0.83,scattered clouds
154,Padang,ID,-0.9492,100.3543,78.3,75,100,3.94,overcast clouds
155,Evensk,RU,61.95,159.2333,40.37,79,100,3.0,overcast clouds
156,Thompson,CA,55.7435,-97.8558,57.36,58,90,11.5,overcast clouds
157,Santa Isabel,BR,-23.3156,-46.2214,85.3,50,56,11.23,broken clouds
158,Carutapera,BR,-1.195,-46.02,84.6,70,95,7.76,moderate rain
159,Saskylakh,RU,71.9167,114.0833,29.48,97,22,5.75,few clouds
160,Asfi,MA,32.2994,-9.2372,71.8,70,94,13.27,overcast clouds
161,Henties Bay,NA,-22.116,14.2845,58.86,77,40,8.05,scattered clouds
162,Qaqortoq,GL,60.7167,-46.0333,46.9,80,100,4.94,overcast clouds
163,Sept-Iles,CA,50.2001,-66.3821,51.26,69,31,7.0,scattered clouds
164,Kochubey,RU,44.3861,46.5825,73.87,55,69,9.24,broken clouds
165,Stokmarknes,NO,68.5646,14.9108,48.49,82,70,5.84,broken clouds
166,San Cristobal,VE,7.7669,-72.225,71.78,78,63,4.72,broken clouds
167,Hithadhoo,MV,-0.6,73.0833,83.5,72,69,16.69,broken clouds
168,Sinnamary,GF,5.3833,-52.95,80.82,82,87,9.64,overcast clouds
169,Norman Wells,CA,65.282,-126.8329,33.84,93,90,5.75,light rain
170,Tuktoyaktuk,CA,69.4541,-133.0374,32.07,74,100,7.2,overcast clouds
171,Chuy,UY,-33.6971,-53.4616,54.81,62,54,17.45,broken clouds
172,Limulunga,ZM,-15.0969,23.1376,62.28,26,0,3.71,clear sky
173,Luderitz,NA,-26.6481,15.1594,62.37,66,54,17.87,broken clouds
174,Kiama,AU,-34.6833,150.8667,54.37,69,100,7.0,overcast clouds
175,Taitung,TW,22.7583,121.1444,80.6,83,93,6.58,overcast clouds
176,Xuanzhou,CN,30.9525,118.7553,71.02,89,100,4.68,overcast clouds
177,Acari,PE,-15.4311,-74.6158,76.33,55,73,9.37,broken clouds
178,Aklavik,CA,68.2191,-135.0107,33.84,64,97,8.95,overcast clouds
179,Anloga,GH,5.7947,0.8973,82.99,77,100,11.01,overcast clouds
180,Lebu,CL,-37.6167,-73.65,53.8,66,100,5.93,overcast clouds
181,Te Anau,NZ,-45.4167,167.7167,46.02,95,100,7.34,overcast clouds
182,Le Vauclin,MQ,14.5452,-60.8388,87.85,48,20,14.9,few clouds
183,Kovylkino,RU,54.0388,43.9139,65.25,73,42,2.62,scattered clouds
184,Siva,EG,29.2041,25.5195,91.67,18,1,2.86,clear sky
185,Alpena,US,45.0617,-83.4327,64.94,28,1,5.01,clear sky
186,Namie,JP,37.4833,141.0,65.97,73,60,4.63,broken clouds
187,Tanout,NE,14.9709,8.8879,93.11,14,96,3.27,overcast clouds
188,Yuma,US,32.7253,-114.6244,95.38,13,1,10.36,clear sky
189,Sitka,US,57.0531,-135.33,51.69,71,90,8.05,overcast clouds
190,Georgetown,MY,5.4112,100.3354,85.93,81,20,5.03,few clouds
191,Aquiraz,BR,-3.9014,-38.3911,86.09,68,66,10.85,broken clouds
192,Ajdabiya,LY,30.7554,20.2263,85.08,38,2,25.17,clear sky
193,Pangkalanbuun,ID,-2.6833,111.6167,73.29,98,95,2.08,light rain
194,Fortuna,US,40.5982,-124.1573,54.66,87,90,8.05,overcast clouds
195,Sambava,MG,-14.2667,50.1667,75.24,82,4,8.93,clear sky
196,Poya,NC,-21.35,165.15,66.27,71,91,8.34,overcast clouds
197,Fort Nelson,CA,58.8053,-122.7002,64.09,35,88,3.47,overcast clouds
198,Menongue,AO,-14.6585,17.691,60.17,31,0,4.16,clear sky
199,Kenora,CA,49.8167,-94.4337,59.77,41,95,20.0,overcast clouds
200,Hasaki,JP,35.7333,140.8333,66.6,81,51,4.47,broken clouds
201,Sahbuz,AZ,39.4072,45.5739,83.8,35,56,3.29,broken clouds
202,Leningradskiy,RU,69.3833,178.4167,32.29,78,82,7.61,broken clouds
203,Sechura,PE,-5.5569,-80.8222,76.32,66,94,7.92,overcast clouds
204,Korla,CN,41.7597,86.1469,78.69,26,84,21.23,broken clouds
205,Christchurch,NZ,-43.5333,172.6333,55.99,91,75,4.0,light rain
206,Sao Filipe,CV,14.8961,-24.4956,74.46,76,4,12.28,clear sky
207,Zhaotong,CN,27.3167,103.7167,56.41,89,100,1.3,overcast clouds
208,Lagoa,PT,39.05,-27.9833,63.59,71,60,6.67,broken clouds
209,Jilin,CN,43.0,126.0,47.37,85,26,3.94,scattered clouds
210,Poum,NC,-20.2333,164.0167,70.74,63,86,19.24,overcast clouds
211,Filadelfia,US,39.9523,-75.1638,51.66,92,90,7.0,overcast clouds
212,Boa Vista,BR,2.8197,-60.6733,85.98,66,75,8.05,broken clouds
213,Salinopolis,BR,-0.6136,-47.3561,83.05,78,63,10.65,broken clouds
214,Esil,KZ,51.9556,66.4042,66.56,30,18,10.16,few clouds
215,North Myrtle Beach,US,33.816,-78.68,88.34,77,1,1.99,clear sky
216,Ancud,CL,-41.8697,-73.8203,50.43,72,100,8.14,light rain
217,Miles City,US,46.4083,-105.8406,66.51,29,20,16.11,few clouds
218,Athabasca,CA,54.7169,-113.2854,61.72,50,40,11.77,scattered clouds
219,Goderich,CA,43.7501,-81.7165,62.04,53,36,13.42,scattered clouds
220,Codrington,AU,-38.2667,141.9667,40.14,93,2,6.87,clear sky
221,Imeni Poliny Osipenko,RU,52.4201,136.4853,46.17,85,99,8.41,overcast clouds
222,Nanortalik,GL,60.1432,-45.2371,36.86,88,90,6.08,overcast clouds
223,Kolokani,ML,13.5728,-8.0339,97.07,26,82,7.92,broken clouds
224,Bambous Virieux,MU,-20.3428,57.7575,74.21,86,19,4.47,light rain
225,Verkhnevilyuysk,RU,63.4453,120.3167,51.17,62,42,2.68,scattered clouds
